# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	63164
#@/user_id	4232a789-02e2-4ed5-b0bb-ca190859e4b9
a 	啊	c=208 d=0.826959 t=63164
bu cha 	不差	c=0 d=7.1939e-39 t=63164
bu cha dian 	不插電	c=1 d=3.71173e-47 t=63164
bu cha qian 	不差錢	c=3 d=1.52668e-07 t=63164
bu chang 	不長	c=0 d=8.05529e-46 t=63164
bu chang 	補償	c=2 d=0.00253793 t=63164
bu chang jin 	補償金	c=3 d=0.00194139 t=63164
bu cheng 	不成	c=1 d=1.97516e-37 t=63164
bu cheng ren 	不承認	c=1 d=2.37986e-24 t=63164
bu chi 	不遲	c=1 d=3.08221e-37 t=63164
bu chi jiu 	不持久	c=1 d=2.43422e-25 t=63164
bu chong 	補充	c=5 d=1.97623e-14 t=63164
bu chong dian 	不充電	c=1 d=1 t=62944
bu chong yao 	不重要	c=1 d=4.90343e-58 t=63164
bu chou 	不愁	c=2 d=4.29923e-11 t=63164
bu chu 	不出	c=1 d=8.05007e-09 t=63164
bu chu fa 	不處罰	c=1 d=1.61273e-05 t=63164
bu chu guo 	不出國	c=1 d=4.55315e-39 t=63164
bu chu lai 	不出來	c=1 d=1 t=61832
bu chuo 	不輟	c=0 d=1.71975e-56 t=63164
bu cong 	不從	c=1 d=2.75075e-22 t=63164
bu cun zai 	不存在	c=6 d=1.93144e-09 t=63164
bu cuo 	不錯	c=19 d=0.196912 t=63164
bu da 	不大	c=4 d=4.39432e-40 t=63164
bu da 	不打	c=1 d=5.35808e-14 t=63164
bu da fen 	不打分	c=1 d=5.38494e-13 t=63164
bu da gong 	不打工	c=1 d=6.08618e-12 t=63164
bu da suan 	不打算	c=2 d=3.15594e-21 t=63164
bu dai 	不帶	c=8 d=0.774916 t=63164
bu dai biao 	不代表	c=2 d=3.09882e-12 t=63164
bu dang 	不當	c=2 d=2.16055e-40 t=63164
bu dang de li 	不當得利	c=9 d=2.74047e-26 t=63164
bu dao 	不到	c=3 d=0.00106477 t=63164
bu de 	不得	c=12 d=0.0655462 t=63164
bu de bu 	不得不	c=1 d=3.2515e-19 t=63164
bu de bu fu shu 	不得不服輸	c=1 d=7.35197e-29 t=63164
bu de xing 	不得行	c=1 d=1.15557e-54 t=63164
bu ding 	不定	c=1 d=1.38564e-43 t=63164
bu ding qi 	不定期	c=1 d=1.44941e-43 t=63164
bu dong 	不動	c=4 d=0.0759572 t=63164
bu dong 	不懂	c=8 d=0.540641 t=63164
bu dong chan 	不動產	c=1 d=1.44473e-05 t=63164
bu dong fa 	不懂法	c=1 d=1.24134e-14 t=63164
bu dong shi 	不懂事	c=1 d=3.20473e-25 t=63164
bu dou 	不都	c=1 d=2.32711e-25 t=63164
bu dou shi 	不都是	c=1 d=6.92876e-08 t=63164
bu du 	不讀	c=1 d=7.80659e-29 t=63164
bu duan 	不斷	c=8 d=0.029361 t=63164
bu duan xie 	不斷寫	c=1 d=1.09317e-48 t=63164
bu duan zeng zhang 	不斷增長	c=1 d=1 t=55113
bu dui 	不對	c=3 d=4.72432e-32 t=63164
bu dui 	部隊	c=6 d=1.07862e-08 t=63164
bu duo 	不多	c=5 d=9.14135e-08 t=63164
bu duo shuo 	不多說	c=1 d=1 t=56566
bu er nuo 	布爾諾	c=0 d=8.38403e-46 t=63164
bu er nuo na ge 	布爾諾那個	c=1 d=8.42606e-45 t=63164
bu fa 	不發	c=2 d=1.60428e-36 t=63164
bu fa song 	不發送	c=1 d=1 t=60829
bu fan hui 	不返回	c=2 d=1.00005 t=59241
bu fan qiang 	不翻牆	c=1 d=9.93627e-14 t=63164
bu fang bian 	不方便	c=2 d=2.83298e-45 t=63164
bu fen 	部分	c=32 d=0.11554 t=63164
bu fu 	不服	c=1 d=5.2031e-50 t=63164
bu fu he 	不符合	c=2 d=4.65809e-13 t=63164
bu fu shu 	不服輸	c=0 d=7.3153e-30 t=63164
bu fu yang 	不撫養	c=1 d=5.26451e-41 t=63164
bu gai 	不該	c=1 d=3.82425e-16 t=63164
bu gan 	不幹	c=2 d=7.63769e-07 t=63164
bu gan 	不敢	c=4 d=1.98174e-38 t=63164
bu gan ga 	不尷尬	c=1 d=2.72523e-30 t=63164
bu gao 	不搞	c=6 d=0.503258 t=63164
bu gao xing 	不高興	c=1 d=6.80388e-66 t=63164
bu gei 	不給	c=2 d=2.48002e-09 t=63164
bu gei li 	不給力	c=1 d=7.59782e-63 t=63164
bu gei ni 	不給你	c=1 d=1.98337e-27 t=63164
bu gong kai 	不公開	c=1 d=6.8124e-44 t=63164
bu gong ping 	不公平	c=2 d=1.10551e-33 t=63164
bu gou 	不夠	c=6 d=0.0343896 t=63164
bu gou cheng 	不構成	c=1 d=7.49769e-54 t=63164
bu gou qiang 	不夠強	c=1 d=5.23932e-14 t=63164
bu gu fu 	不辜負	c=1 d=6.5071e-34 t=63164
bu guan 	不管	c=10 d=0.501576 t=63164
bu guan zen me yang 	不管怎麼樣	c=1 d=1.42076e-14 t=63164
bu guan zen yang 	不管怎樣	c=1 d=1.7755e-48 t=63164
bu guang 	不光	c=1 d=1.2987e-16 t=63164
bu guo 	不過	c=50 d=0.790571 t=63164
bu hao 	不好	c=19 d=3.68071e-07 t=63164
bu hao hao 	不好好	c=1 d=0.00137404 t=63164
bu hao hun 	不好混	c=2 d=6.44694e-13 t=63164
bu hao ju jue 	不好拒絕	c=1 d=9.60758e-30 t=63164
bu hao kan 	不好看	c=5 d=0.891366 t=63164
bu hao pao 	不好泡	c=1 d=3.70341e-50 t=63164
bu hao yi si 	不好意思	c=1 d=1.54491e-29 t=63164
bu hao yue 	不好約	c=1 d=8.1982e-46 t=63164
bu hao zhao 	不好找	c=1 d=7.63615e-34 t=63164
bu he 	不合	c=1 d=1 t=54819
bu he 	不和	c=3 d=1.51637e-42 t=63164
bu he fa 	不合法	c=2 d=2.40378e-24 t=63164
bu hua 	不花	c=1 d=1.77002e-41 t=63164
bu hua zhuang 	不化妝	c=1 d=2.18705e-30 t=63164
bu huan 	不換	c=1 d=1.89707e-33 t=63164
bu huang 	不慌	c=0 d=0.1 t=59305
bu hui 	不回	c=0 d=3.37122e-63 t=63164
bu hui 	不會	c=55 d=0.0333733 t=63164
bu hui cha 	不會差	c=1 d=1.05034e-19 t=63164
bu hui guan 	不會管	c=1 d=2.38521e-21 t=63164
bu hui lai 	補回來	c=1 d=1.5039e-36 t=63164
bu huo 	捕獲	c=2 d=9.97015e-17 t=63164
bu ji 	不急	c=4 d=6.31821e-11 t=63164
bu ji 	不計	c=0 d=5.73449e-48 t=63164
bu ji 	布吉	c=1 d=3.06955e-18 t=63164
bu ji hui 	不忌諱	c=1 d=7.28896e-16 t=63164
bu jia 	不加	c=1 d=1 t=55089
bu jian 	不見	c=1 d=1.97859e-28 t=63164
bu jian rong 	不兼容	c=1 d=4.6524e-28 t=63164
bu jian yi 	不建議	c=1 d=6.63043e-49 t=63164
bu jiao 	不叫	c=1 d=2.14046e-12 t=63164
bu jie 	不解	c=1 d=7.79066e-05 t=63164
bu jie shi 	不解釋	c=1 d=1 t=57645
bu jie yi 	不介意	c=1 d=4.5235e-21 t=63164
bu jin 	不僅	c=3 d=4.26965e-18 t=63164
bu jin jin 	不僅僅	c=3 d=8.05555e-16 t=63164
bu jin ru ci 	不僅如此	c=2 d=0.351738 t=63164
bu jin ze tui 	不進則退	c=1 d=2.92432e-36 t=63164
bu jing guo 	不經過	c=2 d=4.40567e-34 t=63164
bu jing yi 	不經意	c=1 d=5.22029e-30 t=63164
bu jiu 	不久	c=5 d=3.82164e-08 t=63164
bu jiu shi 	不就是	c=1 d=1.01487e-56 t=63164
bu ju 	佈局	c=2 d=3.78555e-14 t=63164
bu ju bei 	不具備	c=1 d=1.31153e-14 t=63164
bu jue de 	不覺得	c=1 d=4.53584e-53 t=63164
bu kai 	不開	c=0 d=5.33862e-30 t=63164
bu kai qiang 	不開腔	c=1 d=5.36538e-29 t=63164
bu kan 	不看	c=1 d=5.53237e-66 t=63164
bu kao 	不考	c=3 d=8.55805e-22 t=63164
bu kao pu 	不靠譜	c=4 d=1.1205e-15 t=63164
bu ke 	不可	c=5 d=1.169e-06 t=63164
bu ke fu zhi 	不可複製	c=1 d=1.94581e-08 t=63164
bu ke neng 	不可能	c=6 d=0.0113902 t=63164
bu ke qiu 	不可求	c=1 d=1.15364e-05 t=63164
bu ke yi 	不可以	c=2 d=0.0376283 t=63164
bu ken 	不肯	c=1 d=1.08961e-39 t=63164
bu kui 	不愧	c=1 d=3.24763e-05 t=63164
bu lai 	不來	c=4 d=2.91786e-11 t=63164
bu lao 	不老	c=1 d=0.00164502 t=63164
bu lei 	不累	c=1 d=1.23809e-42 t=63164
bu li 	不理	c=1 d=3.12135e-10 t=63164
bu li 	不離	c=0 d=2.48517e-05 t=63164
bu li jie 	不理解	c=1 d=1 t=60931
bu li ren 	不理人	c=3 d=1.9328e-08 t=63164
bu li yu 	不利於	c=3 d=0.0284388 t=63164
bu liang 	不亮	c=1 d=1 t=59681
bu liang ying xiang 	不良影響	c=1 d=1 t=55098
bu liao 	不了	c=11 d=0.000483239 t=63164
bu liao jie 	不瞭解	c=2 d=1.86013e-37 t=63164
bu ling 	補零	c=1 d=1 t=55544
bu luan 	不亂	c=1 d=1.39017e-52 t=63164
bu lv xing 	不履行	c=1 d=0.179964 t=63164
bu mai 	不買	c=3 d=5.25467e-19 t=63164
bu man yi 	不滿意	c=2 d=5.16131e-14 t=63164
bu man zu 	不滿足	c=1 d=1.04834e-26 t=63164
bu men 	部門	c=4 d=1.10457e-23 t=63164
bu mian 	不免	c=1 d=6.49803e-47 t=63164
bu mian shi 	不面試	c=1 d=1.757e-13 t=63164
bu ming 	不明	c=1 d=3.89872e-37 t=63164
bu ming bai 	不明白	c=1 d=1.41391e-16 t=63164
bu ming que 	不明確	c=1 d=1.4414e-66 t=63164
bu nan 	不難	c=2 d=2.55155e-21 t=63164
bu neng 	不能	c=65 d=0.11562 t=63164
bu neng mai 	不能買	c=1 d=2.73423e-10 t=63164
bu pa 	不怕	c=1 d=3.2185e-46 t=63164
bu pei 	不賠	c=1 d=0.00620385 t=63164
bu pei he 	不配合	c=1 d=1 t=57361
bu pi pei 	不匹配	c=1 d=1 t=58557
bu po 	不破	c=1 d=5.14432e-35 t=63164
bu qi 	不起	c=2 d=6.64102e-10 t=63164
bu qi lai 	不起來	c=0 d=1.22327e-19 t=63164
bu qin quan 	不侵權	c=1 d=2.0869e-08 t=63164
bu qing chu 	不清楚	c=2 d=0.0737123 t=63164
bu qiu 	不求	c=2 d=9.97928e-06 t=63164
bu qiu wen da 	不求聞達	c=0 d=8.21129e-07 t=63164
bu qiu wen da yu zhu hou 	不求聞達於諸侯	c=1 d=8.25245e-06 t=63164
bu qu 	不去	c=4 d=0.0054204 t=63164
bu qu fen 	不區分	c=1 d=2.60301e-49 t=63164
bu quan 	補全	c=2 d=5.4474e-31 t=63164
bu quan mian 	不全面	c=1 d=2.2022e-23 t=63164
bu quan shi 	不全是	c=1 d=2.99896e-09 t=63164
bu que ding 	不確定	c=3 d=0.953588 t=63164
bu ran 	不然	c=16 d=0.718945 t=63164
bu rang 	不讓	c=2 d=0.0617291 t=63164
bu ren 	不認	c=0 d=2.54142e-33 t=63164
bu ren shi 	不認識	c=2 d=1.6942e-26 t=63164
bu rong yi 	不容易	c=2 d=3.07635e-44 t=63164
bu ru 	不如	c=7 d=0.00568457 t=63164
bu ru 	步入	c=0 d=3.46928e-18 t=63164
bu ru zheng gui 	步入正軌	c=1 d=3.48667e-17 t=63164
bu ruo 	不弱	c=1 d=2.0178e-53 t=63164
bu sa 	不撒	c=1 d=2.14374e-30 t=63164
bu shang 	不上	c=3 d=0.0017163 t=63164
bu shao 	不少	c=2 d=8.27073e-32 t=63164
bu she ji 	不涉及	c=2 d=4.07124e-17 t=63164
bu shi 	不是	c=152 d=0.797759 t=63164
bu shi he 	不適合	c=6 d=0.00124328 t=63164
bu shi jiu 	不是就	c=1 d=0.0137049 t=63164
bu shi yong 	不使用	c=4 d=3.11196e-10 t=63164
bu shi yong 	不適用	c=1 d=9.71044e-67 t=63164
bu shou 	不受	c=3 d=3.29809e-42 t=63164
bu shu 	部署	c=2 d=3.12401e-19 t=63164
bu shu xing 	不屬性	c=1 d=1 t=59370
bu shua 	不耍	c=1 d=2.65153e-31 t=63164
bu shuang 	不爽	c=8 d=3.08231e-08 t=63164
bu shui 	補水	c=1 d=2.72616e-34 t=63164
bu shuo 	不說	c=2 d=5.95027e-11 t=63164
bu si 	不死	c=0 d=5.46522e-41 t=63164
bu si fa yi 	不死法醫	c=1 d=5.49261e-40 t=63164
bu si xin 	不死心	c=1 d=3.31493e-11 t=63164
bu song 	不慫	c=2 d=1.1707e-26 t=63164
bu suan 	不算	c=7 d=0.000131041 t=63164
bu tai 	不太	c=4 d=1.06513e-07 t=63164
bu tao lun 	不討論	c=1 d=2.28135e-56 t=63164
bu ti chu 	不提出	c=1 d=2.58871e-43 t=63164
bu ti gong 	不提供	c=2 d=1.30503e-36 t=63164
bu tiao zhuan 	不跳轉	c=1 d=1.09001e-14 t=63164
bu tie 	補貼	c=1 d=9.67909e-29 t=63164
bu ting 	不停	c=2 d=1.7388e-07 t=63164
bu tong 	不同	c=20 d=1.11054 t=63164
bu tong 	不通	c=1 d=2.78265e-40 t=63164
bu tou ming 	不透明	c=3 d=0.0121552 t=63164
bu tui 	不退	c=1 d=1 t=58190
bu tui jian 	不推薦	c=1 d=0.126186 t=63164
bu wan 	不完	c=0 d=3.32521e-19 t=63164
bu wan zheng 	不完整	c=1 d=3.27793e-26 t=63164
bu wei 	不爲	c=1 d=1.57291e-05 t=63164
bu wei yi 	不唯一	c=1 d=1 t=58709
bu wen 	不問	c=1 d=2.54851e-06 t=63164
bu wen ding 	不穩定	c=0 d=0.1 t=62635
bu xi guan 	不習慣	c=1 d=1 t=62035
bu xi huan 	不喜歡	c=18 d=1.51439e-06 t=63164
bu xia qu 	不下去	c=2 d=1.7258e-08 t=63164
bu xian shi 	不顯示	c=2 d=0.0187724 t=63164
bu xiang 	不像	c=6 d=0.00178203 t=63164
bu xiang 	不想	c=12 d=0.00143728 t=63164
bu xiang qu 	不想去	c=2 d=5.54705e-09 t=63164
bu xiang xin 	不相信	c=2 d=1.74313e-08 t=63164
bu xiang you 	不享有	c=2 d=0.149569 t=63164
bu xiao de 	不曉得	c=5 d=3.8695e-07 t=63164
bu xie 	不寫	c=1 d=1 t=54604
bu xin 	不信	c=2 d=1.21949e-11 t=63164
bu xin xie 	不信邪	c=1 d=9.95997e-42 t=63164
bu xing 	不行	c=9 d=0.00362464 t=63164
bu xing 	步行	c=6 d=2.11465e-10 t=63164
bu xu yao 	不需要	c=14 d=3.31266e-05 t=63164
bu yao 	不要	c=45 d=0.238323 t=63164
bu yao pa 	不要怕	c=1 d=1.32787e-42 t=63164
bu yao qian 	不要錢	c=2 d=1.67877e-36 t=63164
bu yi 	不以	c=0 d=1.73591e-19 t=63164
bu yi 	不宜	c=1 d=1 t=56698
bu yi 	不易	c=2 d=1.93276e-17 t=63164
bu yi 	布衣	c=2 d=8.0487e-06 t=63164
bu yi ding 	不一定	c=2 d=3.00091e-46 t=63164
bu yi yang 	不一樣	c=5 d=8.11029e-07 t=63164
bu yi yi dong 	不易移動	c=1 d=3.80894e-57 t=63164
bu yi ying li 	不以盈利	c=1 d=1.74461e-18 t=63164
bu ying 	不應	c=1 d=2.57895e-28 t=63164
bu ying gai 	不應該	c=2 d=1.19759e-33 t=63164
bu yong 	不用	c=29 d=0.0513241 t=63164
bu yong shuo 	不用說	c=1 d=1.69242e-43 t=63164
bu yu 	不予	c=1 d=2.30795e-16 t=63164
bu yu zhi chi 	不予支持	c=2 d=2.82276e-53 t=63164
bu yuan 	不遠	c=2 d=1.65209e-24 t=63164
bu yue 	不約	c=0 d=3.03065e-16 t=63164
bu yun xu 	不允許	c=3 d=0.19593 t=63164
bu zai 	不再	c=7 d=0.0103063 t=63164
bu zai 	不在	c=1 d=7.05288e-11 t=63164
bu zai hu 	不在乎	c=1 d=4.80143e-46 t=63164
bu zai hua xia 	不在話下	c=1 d=2.96095e-06 t=63164
bu zen me 	不怎麼	c=1 d=1.7329e-27 t=63164
bu zhao 	不找	c=2 d=1.01481e-37 t=63164
bu zhao ji 	不着急	c=2 d=2.21091e-40 t=63164
bu zheng 	不整	c=0 d=2.16154e-40 t=63164
bu zheng dang 	不正當	c=2 d=1.85125e-26 t=63164
bu zhi 	不值	c=1 d=4.87365e-52 t=63164
bu zhi 	不只	c=2 d=8.48616e-11 t=63164
bu zhi 	不止	c=0 d=7.72102e-18 t=63164
bu zhi 	不知	c=1 d=6.34535e-32 t=63164
bu zhi bu jue 	不知不覺	c=1 d=2.27793e-09 t=63164
bu zhi chi 	不支持	c=4 d=3.94158e-08 t=63164
bu zhi dao 	不知道	c=30 d=0.919524 t=63164
bu zhi dao le 	不知道了	c=1 d=2.25603e-13 t=63164
bu zhi qing 	不知情	c=1 d=8.36951e-54 t=63164
bu zhi yi ti 	不值一提	c=1 d=4.53429e-49 t=63164
bu zhi yu 	不至於	c=1 d=9.05241e-65 t=63164
bu zhong yao 	不重要	c=3 d=2.88235e-13 t=63164
bu zhou 	步驟	c=2 d=3.78233e-05 t=63164
bu zhu 	補助	c=2 d=1.24689 t=63164
bu zhuan qian 	不賺錢	c=1 d=4.17501e-19 t=63164
bu zhuan zheng 	不轉正	c=1 d=2.28608e-51 t=63164
bu zhuang bi 	不裝逼	c=1 d=9.17672e-49 t=63164
bu zhui 	不追	c=0 d=5.98295e-47 t=63164
bu zhun 	不準	c=2 d=1.7616e-36 t=63164
bu zou 	不走	c=2 d=1.64217e-12 t=63164
bu zou 	步驟	c=1 d=5.85252e-22 t=63164
bu zu 	不足	c=3 d=1.53538e-15 t=63164
bu zu yi 	不足以	c=1 d=1 t=60395
bu zuo 	不做	c=5 d=1.41709e-13 t=63164
bu zuo bi ji 	不作筆記	c=1 d=1 t=58810
bu zuo wei 	不作爲	c=2 d=3.48459e-43 t=63164
ca 	擦	c=8 d=0.571209 t=63164
cai 	才	c=38 d=0.120105 t=63164
cai 	採	c=1 d=2.45944e-58 t=63164
cai 	猜	c=2 d=4.74881e-34 t=63164
cai 	菜	c=4 d=2.10243e-07 t=63164
cai 	財	c=1 d=7.49004e-42 t=63164
cai 	踩	c=14 d=0.00189056 t=63164
cai bao 	財報	c=5 d=0.00118858 t=63164
cai bu tou 	猜不透	c=2 d=4.83897e-20 t=63164
cai cai 	猜猜	c=1 d=1.08569e-26 t=63164
cai ce 	猜測	c=1 d=2.49831e-66 t=63164
cai chan 	財產	c=7 d=1.32024e-27 t=63164
cai dan 	菜單	c=4 d=1.9701e-36 t=63164
cai dan lan 	菜單欄	c=1 d=5.55083e-17 t=63164
cai fang 	採訪	c=2 d=2.31913e-14 t=63164
cai fu 	財富	c=4 d=4.85728e-35 t=63164
cai gou 	採購	c=2 d=4.20609e-40 t=63164
cai hong 	彩虹	c=3 d=7.15582e-05 t=63164
cai hong mei mei 	彩虹妹妹	c=2 d=2.74475e-18 t=63164
cai hui 	纔會	c=2 d=0.271173 t=63164
cai jing 	財經	c=1 d=5.43796e-40 t=63164
cai lai 	纔來	c=3 d=1.0471e-12 t=63164
cai li 	財力	c=1 d=1.39642e-46 t=63164
cai liao 	材料	c=7 d=0.0270518 t=63164
cai neng 	才能	c=13 d=0.0321955 t=63164
cai piao 	彩票	c=1 d=1.33108e-41 t=63164
cai qu 	採取	c=3 d=3.80712e-22 t=63164
cai shi 	纔是	c=11 d=0.00660453 t=63164
cai shi chang 	菜市場	c=1 d=2.41575e-53 t=63164
cai tuan 	財團	c=2 d=9.4823e-49 t=63164
cai wu 	財務	c=2 d=1.53936e-20 t=63164
cai wu shi li 	財務實力	c=1 d=1.85275e-49 t=63164
cai wu zi you 	財務自由	c=1 d=3.11849e-57 t=63164
cai xia 	踩下	c=0 d=1.80295e-53 t=63164
cai xing 	才行	c=3 d=0.484325 t=63164
cai yong 	採用	c=4 d=0.0305135 t=63164
cai you 	纔有	c=3 d=0.00687406 t=63164
cai you ke neng 	踩有可能	c=1 d=0.000443861 t=63164
cai zhi dao 	才知道	c=1 d=4.08095e-45 t=63164
can 	慘	c=5 d=5.0862e-18 t=63164
can 	燦	c=2 d=1.12802e-41 t=63164
can can 	璨璨	c=1 d=2.55451e-63 t=63164
can cun 	殘存	c=0 d=5.25897e-59 t=63164
can cun wu 	殘存物	c=1 d=5.28533e-58 t=63164
can guan 	餐館	c=5 d=4.9582e-21 t=63164
can jia 	參加	c=1 d=2.76397e-49 t=63164
can kan 	參看	c=1 d=1.74277e-35 t=63164
can kao 	參考	c=11 d=0.00779214 t=63164
can nian 	殘念	c=1 d=3.96101e-47 t=63164
can ren 	殘忍	c=0 d=1.2842e-32 t=63164
can ren ju jue 	殘忍拒絕	c=1 d=1.29064e-31 t=63164
can shu 	參數	c=26 d=0.0889216 t=63164
can ting 	餐廳	c=4 d=3.66049e-22 t=63164
can yin 	餐飲	c=6 d=6.04534e-21 t=63164
can yu 	參與	c=6 d=0.00611149 t=63164
can zhong 	慘重	c=3 d=3.26859e-64 t=63164
cang chu 	倉儲	c=0 d=6.58145e-51 t=63164
cang chu wu liu 	倉儲物流	c=1 d=6.61444e-50 t=63164
cang ku 	倉庫	c=4 d=6.54717e-40 t=63164
cang men 	艙門	c=1 d=1.08119e-36 t=63164
cang ting 	倉聽	c=1 d=1.05285e-47 t=63164
cao 	操	c=5 d=0.836108 t=63164
cao 	草	c=5 d=2.92641e-15 t=63164
cao an 	草案	c=1 d=3.10737e-15 t=63164
cao gao 	草稿	c=2 d=1.74521e-22 t=63164
cao lao guo du 	操勞過度	c=1 d=1.16259e-37 t=63164
cao min 	草民	c=1 d=1.02832e-05 t=63164
cao shi dong wu 	草食動物	c=1 d=0.0209629 t=63164
cao xin 	操心	c=1 d=1.07862e-09 t=63164
cao zuo 	操作	c=18 d=0.792247 t=63164
cao zuo xi tong 	操作系統	c=3 d=0.166727 t=63164
ce 	冊	c=1 d=0.0186856 t=63164
ce 	測	c=6 d=0.169382 t=63164
ce dong 	策動	c=1 d=1.67506e-10 t=63164
ce hua 	策劃	c=4 d=0.00012465 t=63164
ce hua shu 	策劃書	c=5 d=0.00054485 t=63164
ce lve 	策略	c=2 d=9.13902e-30 t=63164
ce mian 	側面	c=1 d=1.65041e-12 t=63164
ce ping 	測評	c=2 d=0.0020396 t=63164
ce shi 	測試	c=81 d=3.34888 t=63164
ce shi jiu 	測試就	c=1 d=1 t=62629
ce su 	測速	c=1 d=5.22118e-32 t=63164
ce suo 	廁所	c=2 d=4.51889e-09 t=63164
ce ting 	側停	c=2 d=1.83235e-52 t=63164
cen ci cuo luo 	參差錯落	c=0 d=0.1 t=62906
cen ci cuo luo shi 	參差錯落是	c=1 d=1 t=62907
ceng 	層	c=7 d=3.95682 t=63164
ceng 	曾	c=3 d=6.89515e-39 t=63164
ceng ci 	層次	c=2 d=1.39908e-43 t=63164
ceng shu 	層數	c=1 d=1 t=63120
cha 	差	c=6 d=2.23977e-17 t=63164
cha 	插	c=1 d=1 t=61937
cha 	查	c=22 d=0.0194482 t=63164
cha 	茶	c=1 d=1.0476e-47 t=63164
cha bie 	差別	c=2 d=0.000191619 t=63164
cha bu dao 	查不到	c=2 d=4.08038e-14 t=63164
cha bu duo 	差不多	c=14 d=0.609571 t=63164
cha bu qiu duo 	差不求多	c=1 d=5.48794e-30 t=63164
cha dan ci 	查單詞	c=1 d=3.57543e-48 t=63164
cha dao 	岔道	c=1 d=8.1263e-60 t=63164
cha dao 	查到	c=2 d=4.10084e-14 t=63164
cha dian 	差點	c=1 d=1 t=60433
cha e 	差額	c=1 d=5.26076e-62 t=63164
cha jian 	插件	c=2 d=1.00864e-13 t=63164
cha jin 	插進	c=1 d=5.43721e-09 t=63164
cha ju 	差距	c=2 d=4.93336e-12 t=63164
cha kan 	查看	c=40 d=0.00500023 t=63164
cha ping 	差評	c=0 d=0.000210172 t=63164
cha ping jing gao 	差評警告	c=1 d=0.00211225 t=63164
cha ru 	插入	c=6 d=1.38335e-06 t=63164
cha shou 	插手	c=1 d=5.72767e-33 t=63164
cha tou 	插頭	c=4 d=2.75673 t=62064
cha xun 	查詢	c=9 d=1.80552e-10 t=63164
cha yi 	差異	c=4 d=2.2813e-15 t=63164
cha zi 	岔子	c=1 d=9.09624e-63 t=63164
chai 	拆	c=10 d=0.00283612 t=63164
chai cheng 	拆成	c=2 d=1.91228e-22 t=63164
chai fen 	拆分	c=6 d=1.79796e-21 t=63164
chai jing 	柴靜	c=1 d=1 t=60182
chai ju zi 	拆句子	c=1 d=3.60338e-22 t=63164
chai kai 	拆開	c=3 d=4.9491e-07 t=63164
chai qian 	差遣	c=1 d=1 t=60420
chai xie 	拆卸	c=1 d=1 t=61957
chan 	鏟	c=1 d=0.00625109 t=63164
chan liang 	產量	c=1 d=3.17662e-39 t=63164
chan pin 	產品	c=38 d=0.0189584 t=63164
chan sheng 	產生	c=13 d=4.90876e-12 t=63164
chan shi 	闡釋	c=2 d=0.666977 t=63164
chan shu 	闡述	c=3 d=0.00225267 t=63164
chang 	唱	c=1 d=3.57128e-05 t=63164
chang 	場	c=0 d=2.20971e-64 t=63164
chang 	常	c=1 d=6.658e-39 t=63164
chang 	廠	c=3 d=8.79591e-21 t=63164
chang 	昌	c=1 d=9.36878e-28 t=63164
chang 	長	c=12 d=0.00263203 t=63164
chang chang 	常常	c=2 d=0.000476044 t=63164
chang cheng 	長城	c=5 d=3.12267e-47 t=63164
chang cheng zheng quan 	長城證券	c=1 d=2.8907e-47 t=63164
chang de 	常德	c=1 d=3.49618e-49 t=63164
chang du 	長度	c=7 d=0.865022 t=63164
chang fa 	長髮	c=1 d=0.00631391 t=63164
chang ge ge 	唱個歌	c=1 d=1.99399e-31 t=63164
chang he 	場合	c=1 d=1.75963e-60 t=63164
chang hong 	長虹	c=1 d=6.28095e-59 t=63164
chang huan 	償還	c=1 d=8.62586e-56 t=63164
chang jian 	常見	c=4 d=2.12499e-09 t=63164
chang kuan 	長寬	c=1 d=5.93692e-14 t=63164
chang long 	長龍	c=1 d=1.04223e-16 t=63164
chang nian 	長年	c=2 d=6.52283e-33 t=63164
chang qi 	長期	c=4 d=1.08251e-21 t=63164
chang qun 	長裙	c=1 d=1.36668e-28 t=63164
chang sha 	長沙	c=5 d=3.17344e-27 t=63164
chang sha re 	長沙熱	c=1 d=3.76975e-53 t=63164
chang shi 	嘗試	c=3 d=3.55589e-13 t=63164
chang tai 	常態	c=1 d=3.65274e-35 t=63164
chang tui 	長腿	c=0 d=0.2 t=59309
chang xiang 	暢想	c=1 d=1.56986e-41 t=63164
chang yi chang 	嚐一嚐	c=1 d=2.13639e-19 t=63164
chang yong 	常用	c=5 d=2.29097e-11 t=63164
chang yuan 	長遠	c=1 d=2.56915e-42 t=63164
chang zi 	腸子	c=1 d=1.641e-33 t=63164
chang zu 	長足	c=1 d=4.30275e-50 t=63164
chao 	吵	c=2 d=5.72114e-09 t=63164
chao 	抄	c=1 d=2.4305e-07 t=63164
chao 	潮	c=1 d=8.91821e-07 t=63164
chao 	炒	c=5 d=2.436e-23 t=63164
chao 	超	c=2 d=0.0718924 t=63164
chao di 	抄底	c=1 d=8.95196e-22 t=63164
chao fan 	超凡	c=0 d=3.31606e-16 t=63164
chao fan da shi 	超凡大師	c=1 d=3.33268e-15 t=63164
chao ge 	超哥	c=1 d=4.34392e-15 t=63164
chao gu 	炒股	c=1 d=9.35891e-45 t=63164
chao guo 	超過	c=5 d=0.657047 t=63164
chao ji 	超級	c=2 d=8.77171e-18 t=63164
